Иван Иванович Волков|1999*Москва+Школа 60-
Андрей Иванович Попов|2006*Москва+Школа 59-
Сергей Иванович Иванов|2007*Москва+Школа 60-
Павел Иванович Кузнецовв|1984*Омск+Школа 70-
Николай Иванович Волков|1984*Омск+Школа 70-
Владимир Иванович Попов|1984*Омск+Школа 70-
Евгений Иванович Ермаков|1984*Омск+Школа 30-
Александр Иванович Иванов|1984*Омск+Школа 30-
Андрей Иванович Кузнецовв|1984*Омск+Школа 30-
Сергей Иванович Волков|1998*Киев+Школа 69-
Павел Иванович Иванов|2020*Новокузнецк+Школа 10-
Николай Иванович Волков|2020*Новокузнецк+Школа 10-
Владимир Иванович Попов|2020*Новокузнецк+Школа 10-
Евгений Иванович Иванов|2020*Новокузнецк+Школа 10-
Александр Иванович Кузнецов|2020*Новокузнецк+Школа 10-
Иосиф Иванович Иванов|2020*Новокузнецк+Школа 10-
Леонид Иванович Попов|2001*Томск+Школа 40-
Марк Иванович Волков|2001*Томск+Школа 40-
Олег Иванович Ермаков|2001*Томск+Школа 40-
Платон Иванович Кузнецов|2001*Томск+Школа 40-
Олег Иванович Иванов|2001*Томск+Школа 40-
Андрей Иванович Волков|2001*Кемерево+Школа 160-
Сергей Иванович Кузнецов|2001*Кемерево+Школа 160-
Павел Иванович Иванов|2001*Кемерево+Школа 160-
Иосиф Иванович Попов|2001*Кемерево+Школа 160-
Владимир Иванович Иванов|2001*Кемерево+Школа 20-
Николай Иванович Ермаков|2001*Кемерево+Школа 20-
Филипп Иванович Иванов|2001*Кемерево+Школа 20-
Ярослав Иванович Волков|2001*Магадан+Школа 90-
Иван Иванович Иванов|2001*Магадан+Школа 90-
Андрей Иванович Кузнецов|2001*Магадан+Школа 90-
Иосиф Иванович Иванов|2001*Магадан+Школа 90-
Леонид Иванович Попов|2001*Магадан+Школа 90-
Евгений Иванович Кузнецов|2001*Магадан+Школа 90-
Владимир Иванович Ермаков|2001*Магадан+Школа 90-
Платон Иванович Иванов|2001*Магадан+Школа 90-
Сергей Иванович Кузнецов|2001*Припять+Школа 1-
Денис Иванович Волков|2001*Припять+Школа 1-
Борис Иванович Ермаков|2001*Припять+Школа 1-
Антон Иванович Попов|2001*Припять+Школа 1-
Аркадий Иванович Иванов|2001*Припять+Школа 1-
Сергей Максимович Бараксанов|2001*Припять+Школа 1-
